institution,rh_records,active_share_pct,average_remuneration_brl,median_remuneration_brl,female_share_pct,avg_age
UNESPAR - CAMPUS DE CAMPO MOURÃO,568,38.38028169014084,5304.701461267606,0.0,54.22535211267606,41.38204225352113
INSTITUTO AMBIENTAL DO PARANÁ,567,0.0,0.0,0.0,28.39506172839506,53.97883597883598
SECRETARIA DA FAMÍLIA E DESENVOLVIMENTO SOCIAL,561,0.0,0.0,0.0,46.702317290552585,44.65953654188948
COMPANHIA DE HABITACAO DO PARANA,548,60.03649635036496,8628.3789010989,5655.54,44.34306569343065,50.465328467153284
SECRETARIA DE ESTADO DO DESENVOLVIMENTO SOCIAL E FAMILIA,524,45.038167938931295,4455.641526717557,0.0,61.832061068702295,46.86832061068702
INSTITUTO DE TECNOLOGIA DO PARANÁ,518,60.03861003861004,6884.407084942085,4145.11,40.34749034749035,51.077220077220076
SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL,464,0.0,0.0,0.0,58.620689655172406,43.87931034482759
"SECRETARIA DO TRABALHO, EMPREGO E ECONOMIA SOLIDÁRIA",462,0.0,0.0,0.0,48.917748917748916,42.44155844155844
UNESPAR - CAMPUS DE CURITIBA II,457,41.35667396061269,6279.932932166302,0.0,55.798687089715536,45.66083150984683
SECRETARIA DE ESTADO DA COMUNICAÇÃO,446,35.2017937219731,3386.788520179372,0.0,48.654708520179376,43.52017937219731
Instituto das Águas do Paraná,443,0.0,0.0,0.0,27.539503386004515,52.747178329571106
Secretaria do Planejamento e Coordenação Geral,441,0.0,0.0,0.0,45.3514739229025,48.27437641723356
SECRETARIA DA COMUNICAÇÃO SOCIAL,439,0.0,0.0,0.0,52.16400911161732,43.29840546697039
UNESPAR - CAMPUS DE UNIAO DA VITORIA,434,34.331797235023046,5080.99940092166,0.0,52.30414746543779,39.81336405529954
JUNTA COMERCIAL DO PARANÁ,427,23.653395784543328,1911.7629508196721,0.0,46.13583138173302,45.395784543325526
