employment_status,rh_records,average_remuneration_brl,median_remuneration_brl,female_share_pct,avg_age
DESLIGADO,536834,22.570483093407248,0.0,68.63481076086835,42.063480768371015
ATIVO,165583,9180.790336447582,7828.57,58.82971077948823,47.37041465859816
APOSENTADO,136647,6996.555955491156,5320.3,65.41892613815159,73.05969087214548
PENSIONISTA,48922,4263.356522627857,1914.855,72.05551694534157,66.58358441558441
PENSÃO ESPECIAL,2757,1368.1686724700762,1621.0,46.17337685890461,67.69989086940706
VOLUNTÁRIO,1425,4955.436722807018,5500.0,2.3157894736842106,59.1859649122807
