city_official,rh_records,active_records,average_remuneration_brl,median_remuneration_brl,p90_remuneration_brl,female_share_pct,avg_age,inactive_records,active_share_pct,city,demonym,population_last_census,population_estimated,population_density,formal_jobs,formal_jobs_avg_salary_min_wage,infant_mortality_per_thousand,gdp_per_capita_brl,school_attendance_6_14_pct,diarrhea_hospitalizations_per_100k,city_key,rh_records_per_1k_est_pop
Carambeí,1256,187,940.8497531847134,0.0,4966.18,70.78025477707006,41.26035031847134,1069,14.888535031847134,Carambeí,paranaense,23283,24469,35.84,11031,2.5,13.97,85465.6,99.86,0.0,CARAMBEI,51.33025460787118
Tibagi,1253,171,854.7453790901835,0.0,4640.819999999995,74.38148443735035,39.39824421388667,1082,13.647246608140462,Tibagi,paranaense,19961,20374,6.7,3668,2.3,3.5,72572.74,99.32,49.3,TIBAGI,61.49995091783646
Colorado,1230,178,1015.4120975609756,0.0,5100.65,78.61788617886178,42.172357723577235,1052,14.471544715447154,Colorado,paranaense,22896,23313,56.18,9230,2.4,20.69,51174.35,99.08,25.8,COLORADO,52.7602625144769
Terra Roxa,1226,214,1069.5377732463296,0.0,5302.82,70.79934747145188,41.99021207177814,1012,17.45513866231648,Terra Roxa,paranaense,18119,18636,22.63,4309,2.0,20.66,50852.69,99.23,0.0,TERRA ROXA,65.78664949559992
Jandaia do Sul,1220,235,1412.871155737705,0.0,6409.768000000006,78.0327868852459,43.062295081967214,985,19.262295081967213,Jandaia do Sul,paranaense,21408,21930,114.12,8583,2.0,33.06,44978.71,95.8,155.6,JANDAIA DO SUL,55.63155494756042
Porecatu,1219,146,750.8098769483183,0.0,2779.686000000004,70.71369975389665,43.30516817063167,1073,11.977030352748153,Porecatu,paranaense,11624,11271,39.85,2638,1.7,,63054.76,98.36,17.5,PORECATU,108.15366870730192
Santa Helena,1192,274,1776.7431459731545,0.0,7900.437000000002,74.41275167785236,41.57969798657718,918,22.986577181208055,Santa Helena,paranaense,25492,26461,33.78,7042,2.5,3.02,64374.87,98.25,102.5,SANTA HELENA,45.04742829069196
Ubiratã,1189,262,1634.596173254836,0.0,7300.184000000005,78.97392767031118,43.14646464646464,927,22.03532380151388,Ubiratã,paranaense,24749,25732,37.92,10654,2.0,5.97,86060.93,99.32,109.7,UBIRATA,46.207057360484995
Corbélia,1188,158,949.2449074074074,0.0,5100.65,75.84175084175084,39.813131313131315,1030,13.299663299663301,Corbélia,paranaense,17470,17933,33.02,4486,2.2,,56867.78,98.66,285.5,CORBELIA,66.24658450900574
Loanda,1184,291,1903.5185050675677,0.0,7828.342,73.5641891891892,44.08192567567568,893,24.5777027027027,Loanda,paranaense,23225,23966,32.15,8491,1.9,20.76,39155.41,98.56,923.9,LOANDA,49.40332137194359
Santa Terezinha de Itaipu,1171,212,1362.5771135781383,0.0,6658.19,74.46626814688301,41.654995730145174,959,18.104184457728437,Santa Terezinha de Itaipu,paranaense,24262,25300,90.44,5128,2.1,19.23,31536.73,99.34,0.0,SANTA TEREZINHA DE ITAIPU,46.28458498023715
Mandirituba,1160,191,1104.0384310344828,0.0,5604.970000000002,78.10344827586206,39.41724137931035,969,16.46551724137931,Mandirituba,paranaense,27439,29104,72.36,6492,2.1,12.2,29207.79,98.47,7.0,MANDIRITUBA,39.857064321055525
Mandaguaçu,1141,225,1339.2029973707274,0.0,6035.29,73.09377738825592,42.19631901840491,916,19.71954425942156,Mandaguaçu,paranaense,31457,34521,106.99,7137,2.3,13.7,31643.51,98.63,0.0,MANDAGUACU,33.052344949451054
Astorga,1127,199,1306.1509671694764,0.0,6217.017999999996,83.40727595385981,43.391304347826086,928,17.657497781721386,Astorga,paranaense,25475,26203,58.59,7645,1.9,17.01,45723.88,98.28,3.8,ASTORGA,43.010342327214445
Siqueira Campos,1126,241,1496.198809946714,0.0,7009.09,71.75843694493783,41.41829484902309,885,21.403197158081706,Siqueira Campos,paranaense,22811,24031,82.04,9522,1.8,6.15,37311.87,99.32,345.8,SIQUEIRA CAMPOS,46.85614414714327
Altônia,1125,179,1024.6044177777778,0.0,5326.028,75.46666666666667,41.29244444444444,946,15.911111111111111,Altônia,paranaense,18742,18634,28.33,3960,1.8,4.9,29153.82,98.08,5.3,ALTONIA,60.373510786733924
Ampére,1113,185,1042.393692722372,0.0,5144.366000000003,82.38993710691824,39.5507637017071,928,16.621743036837376,Ampére,paranaense,19620,20337,65.76,6901,1.9,18.12,51028.26,94.47,9.9,AMPERE,54.72783596400649
Coronel Vivida,1086,259,1776.9281307550643,0.0,7419.325,80.47882136279927,41.39594843462247,827,23.848987108655617,Coronel Vivida,paranaense,23331,24010,34.09,6687,2.3,26.94,47552.24,99.54,83.8,CORONEL VIVIDA,45.23115368596419
Matelândia,1080,151,962.3392777777777,0.0,4836.1370000000015,77.31481481481481,40.74351851851852,929,13.981481481481481,Matelândia,paranaense,18450,19223,28.84,12342,1.9,4.07,78092.93,97.81,94.6,MATELANDIA,56.18269780991521
Candói,1064,135,939.8266353383459,0.0,4935.02,79.69924812030075,38.7171052631579,929,12.687969924812032,Candói,paranaense,14973,15174,9.9,3650,2.2,4.72,60204.94,99.65,39.5,CANDOI,70.119942006063
Bituruna,1061,166,1054.7302356267671,0.0,5284.64,72.66729500471254,37.89255419415645,895,15.645617342130066,Bituruna,paranaense,15533,15650,12.58,4816,2.0,7.72,42256.96,98.35,19.1,BITURUNA,67.79552715654951
Jardim Alegre,1060,181,1207.6944811320755,0.0,5910.339000000002,78.77358490566037,40.9188679245283,879,17.075471698113205,Jardim Alegre,paranaense,12004,12138,29.04,2578,2.3,16.67,35358.97,98.46,0.0,JARDIM ALEGRE,87.32904926676554
Guaraniaçu,1052,150,966.9352186311787,0.0,4820.384999999998,78.8022813688213,39.07509505703422,902,14.258555133079847,Guaraniaçu,paranaense,13735,13770,11.09,3317,2.0,28.17,43991.58,98.89,405.4,GUARANIACU,76.39796659404502
Itaperuçu,1048,211,1300.07731870229,0.0,6006.601000000001,77.00381679389314,40.13358778625954,837,20.13358778625954,Itaperuçu,paranaense,31217,33310,96.65,6100,1.6,16.67,25618.02,98.61,88.2,ITAPERUCU,31.462023416391474
Andirá,1032,178,1233.6410658914729,0.0,5989.422,78.29457364341084,42.01453488372093,854,17.248062015503876,Andirá,paranaense,19878,19989,84.25,5575,2.1,9.17,43322.9,99.54,184.6,ANDIRA,51.628395617589675
Realeza,1024,184,1292.0613671875,0.0,6570.557000000006,83.59375,41.6142578125,840,17.96875,Realeza,paranaense,19247,20097,54.46,6477,2.1,8.03,49825.25,98.02,0.0,REALEZA,50.95287853908544
Campina da Lagoa,1023,190,1256.1685923753666,0.0,6214.812,84.65298142717498,42.71163245356794,833,18.57282502443793,Campina da Lagoa,paranaense,15723,16014,19.74,3021,1.8,10.2,42893.99,98.55,0.0,CAMPINA DA LAGOA,63.881603596852756
Palmital,1008,168,1185.9144047619047,0.0,6210.8480000000045,82.63888888888889,41.11607142857143,840,16.666666666666664,Palmital,paranaense,13033,12879,15.94,2127,2.1,11.76,31211.59,99.21,0.0,PALMITAL,78.26694619147449
Faxinal,998,198,1395.989478957916,0.0,6507.991000000004,81.1623246492986,42.65130260521042,800,19.839679358717436,Faxinal,paranaense,16389,16596,22.89,3524,2.2,14.56,38140.13,99.29,0.0,FAXINAL,60.134972282477705
Capitão Leônidas Marques,988,160,1072.5672874493928,0.0,5439.58,86.33603238866397,39.892712550607285,828,16.194331983805668,Capitão Leônidas Marques,paranaense,14648,14776,52.3,4306,2.0,21.62,88764.32,99.28,33.8,CAPITAO LEONIDAS MARQUES,66.8651867893882
Tamarana,973,125,724.0139876670092,0.0,3329.1,67.52312435765673,37.12435765673176,848,12.846865364850975,Tamarana,paranaense,10707,10540,22.68,2281,2.3,23.39,44325.79,98.02,9.4,TAMARANA,92.31499051233396
Cafelândia,955,147,1035.7805968586388,0.0,5955.124000000001,79.26701570680629,40.46387434554974,808,15.392670157068064,Cafelândia,paranaense,18997,20145,69.1,12368,2.4,3.36,142008.42,99.11,35.3,CAFELANDIA,47.40630429386945
Três Barras do Paraná,954,131,898.345178197065,0.0,4628.402000000002,82.70440251572327,38.23270440251572,823,13.731656184486374,Três Barras do Paraná,paranaense,11135,11157,22.03,2478,2.2,,40731.89,99.24,312.6,TRES BARRAS DO PARANA,85.50685668190373
Cantagalo,943,168,1189.4071898197242,0.0,5704.382000000006,78.79109225874868,38.44644750795334,775,17.815482502651115,Cantagalo,paranaense,10933,10672,18.74,2036,1.9,22.35,35372.19,98.12,0.0,CANTAGALO,88.36206896551724
Santa Izabel do Oeste,943,131,1014.1181442205727,0.0,5390.982000000008,85.04772004241782,40.03605514316013,812,13.891834570519618,Santa Izabel do Oeste,paranaense,14070,14462,43.81,3130,2.1,6.13,36537.21,97.49,125.1,SANTA IZABEL DO OESTE,65.20536578619831
Ipiranga,941,114,738.4615515409139,0.0,3329.1,75.02656748140276,36.083953241232734,827,12.114771519659936,Ipiranga,paranaense,14142,14317,15.7,2425,2.2,13.7,54879.34,99.69,0.0,IPIRANGA,65.72605992875602
Santa Maria do Oeste,930,140,1051.810806451613,0.0,5186.451000000003,80.3225806451613,40.13333333333333,790,15.053763440860216,Santa Maria do Oeste,paranaense,9934,9869,11.87,1161,2.3,23.26,35195.52,99.13,0.0,SANTA MARIA DO OESTE,94.23447157766743
Iporã,926,145,1112.7316522678186,0.0,6013.355,75.05399568034558,42.46328293736501,781,15.658747300215984,Iporã,paranaense,15746,16102,24.3,4637,2.1,23.26,53982.44,100.0,99.6,IPORA,57.5083840516706
Campo Magro,896,211,1627.408325892857,0.0,6658.19,69.86607142857143,41.05357142857143,685,23.549107142857142,Campo Magro,paranaense,30160,31888,109.53,5046,2.3,2.93,23228.87,99.22,0.0,CAMPO MAGRO,28.098344204716508
Inácio Martins,892,114,810.8416928251122,0.0,4144.7329999999965,73.31838565022422,37.12107623318386,778,12.780269058295964,Inácio Martins,paranaense,9670,9555,10.33,2133,1.9,15.63,25847.91,98.66,0.0,INACIO MARTINS,93.35426478283621
Planalto,879,120,897.3030944254836,0.0,5100.65,83.95904436860067,37.948805460750854,759,13.651877133105803,Planalto,paranaense,14374,14722,41.51,2926,2.1,,36597.18,99.7,54.6,PLANALTO,59.70656160847711
São João do Triunfo,862,128,989.5184918793503,0.0,5140.2119999999995,75.29002320185614,38.55104408352668,734,14.849187935034802,São João do Triunfo,paranaense,13726,13899,19.05,1547,2.4,19.87,63813.74,100.0,0.0,SAO JOAO DO TRIUNFO,62.01885027699835
Cruz Machado,861,131,1124.9195702671313,0.0,5578.62,77.5842044134727,37.75842044134727,730,15.21486643437863,Cruz Machado,paranaense,15978,15759,10.81,2374,2.0,5.52,31791.46,99.36,25.1,CRUZ MACHADO,54.63544641157434
Ivaí,859,123,1002.4270896391153,0.0,4956.844000000002,82.30500582072176,37.36903376018626,736,14.318975552968569,Ivaí,paranaense,13229,13476,21.76,2176,1.6,14.71,53751.06,99.6,22.3,IVAI,63.742950430394785
Quatro Barras,857,172,1286.2817386231038,0.0,5652.47,70.94515752625438,41.62660443407235,685,20.070011668611436,Quatro Barras,paranaense,24191,25397,134.04,12085,3.3,12.4,96572.32,99.49,0.0,QUATRO BARRAS,33.74414300901681
General Carneiro,851,128,920.2912808460635,0.0,5100.65,80.96357226792009,41.0,723,15.041128084606346,General Carneiro,paranaense,11062,10691,10.33,2643,1.9,24.15,39531.18,98.76,0.0,GENERAL CARNEIRO,79.5996632681695
Querência do Norte,848,120,936.1113915094339,0.0,4979.087000000005,80.18867924528303,40.37146226415094,728,14.150943396226415,Querência do Norte,paranaense,10685,10625,11.68,1523,2.4,8.7,32030.3,96.96,37.4,QUERENCIA DO NORTE,79.81176470588235
Iretama,846,141,1038.9618203309692,0.0,5389.125,83.92434988179669,41.121749408983455,705,16.666666666666664,Iretama,paranaense,10684,10832,18.73,2113,2.3,21.58,38330.96,99.5,0.0,IRETAMA,78.10192023633678
Santa Mariana,838,167,1483.0426968973748,0.0,6782.004,68.73508353221956,46.10143198090692,671,19.928400954653938,Santa Mariana,paranaense,11066,10941,25.9,2051,2.3,8.85,44999.22,96.01,190.3,SANTA MARIANA,76.59263321451422
Engenheiro Beltrão,832,143,1271.9649879807691,0.0,6345.505,86.0576923076923,42.75600961538461,689,17.1875,Engenheiro Beltrão,paranaense,12454,12347,26.64,2997,2.1,17.24,56098.46,99.28,563.1,ENGENHEIRO BELTRAO,67.38478982748845
Morretes,824,175,1301.1207766990292,0.0,5973.483000000003,69.1747572815534,42.12864077669903,649,21.2378640776699,Morretes,paranaense,18309,19089,26.74,3772,2.0,26.6,29204.87,98.6,5.3,MORRETES,43.16622138404316
Rebouças,821,129,1163.661071863581,0.0,5595.33,80.02436053593179,40.07673568818514,692,15.712545676004872,Rebouças,paranaense,14514,14825,30.12,2756,1.9,9.76,43802.69,99.27,6.8,REBOUCAS,55.379426644182125
São João do Ivaí,821,166,1451.231827040195,0.0,6904.22,85.3836784409257,42.44457978075518,655,20.219244823386116,São João do Ivaí,paranaense,10667,10639,30.19,1953,1.9,23.08,38494.18,100.0,37.4,SAO JOAO DO IVAI,77.16890685214777
Ribeirão Claro,820,117,971.5733536585366,0.0,5080.486000000001,79.8780487804878,44.69634146341463,703,14.268292682926829,Ribeirão Claro,paranaense,12364,12856,19.65,3251,2.2,7.46,49315.87,100.0,156.6,RIBEIRAO CLARO,63.783447417548224
Contenda,816,141,1137.603075980392,0.0,5760.035,83.70098039215686,38.057598039215684,675,17.27941176470588,Contenda,paranaense,19128,20006,63.97,3229,2.2,4.24,32821.93,99.05,0.0,CONTENDA,40.78776367089873
Rio Azul,815,136,1080.855374233129,0.0,5297.87,78.03680981595093,39.05644171779141,679,16.687116564417177,Rio Azul,paranaense,14025,14174,23.41,2747,2.4,,71086.79,100.0,0.0,RIO AZUL,57.49964724142797
Alto Piquiri,814,136,1131.570036855037,0.0,6154.459000000001,82.92383292383292,45.03194103194103,678,16.707616707616708,Alto Piquiri,paranaense,9727,9771,21.73,1341,2.4,16.0,50230.67,99.04,0.0,ALTO PIQUIRI,83.30774741582233
Curiúva,809,130,1095.580086526576,0.0,5431.252000000001,80.22249690976514,39.7725587144623,679,16.069221260815823,Curiúva,paranaense,13647,13784,23.68,2166,2.0,11.76,24397.6,99.17,0.0,CURIUVA,58.6912362159025
Sertanópolis,799,123,1080.4573717146432,0.0,5341.924000000004,78.3479349186483,42.84355444305382,676,15.39424280350438,Sertanópolis,paranaense,15930,16210,31.51,5675,2.0,11.49,54232.95,99.66,6.2,SERTANOPOLIS,49.29056138186304
Roncador,798,113,927.9870927318295,0.0,5100.65,81.95488721804512,41.07518796992481,685,14.160401002506266,Roncador,paranaense,11251,11339,15.16,1818,2.4,6.71,56837.11,98.96,606.8,RONCADOR,70.37657641767352
Quitandinha,796,173,1442.9267462311557,0.0,6338.969999999999,78.14070351758794,38.10175879396985,623,21.733668341708544,Quitandinha,paranaense,18398,18882,41.16,2484,2.4,9.43,32311.04,98.56,95.6,QUITANDINHA,42.15655121279526
Santa Tereza do Oeste,790,142,1364.765911392405,0.0,6821.979000000002,76.0759493670886,40.43291139240506,648,17.974683544303797,Santa Tereza do Oeste,paranaense,13174,13938,40.39,3826,2.4,15.38,54145.66,99.26,0.0,SANTA TEREZA DO OESTE,56.67958100157842
Salto do Lontra,773,170,1503.2946442432083,0.0,7020.586,84.47606727037517,39.54592496765847,603,21.992238033635186,Salto do Lontra,paranaense,15223,15706,48.68,3675,1.7,6.33,41283.22,99.61,0.0,SALTO DO LONTRA,49.21685979880301
Terra Rica,771,150,1414.976990920882,0.0,6598.68,77.82101167315176,42.394293125810634,621,19.45525291828794,Terra Rica,paranaense,14842,14961,21.18,3598,2.3,12.66,36352.67,98.95,73.4,TERRA RICA,51.533988369761374
Nova Londrina,768,134,1235.3588932291666,0.0,6084.543000000002,72.91666666666666,45.221354166666664,634,17.447916666666664,Nova Londrina,paranaense,12923,13074,47.97,5408,2.0,6.67,55592.2,97.58,259.8,NOVA LONDRINA,58.74254245066545
Barracão,768,134,1152.2410286458332,0.0,5403.952000000007,83.59375,41.239583333333336,634,17.447916666666664,Barracão,paranaense,9759,9903,60.53,3273,2.0,16.53,33128.04,100.0,0.0,BARRACAO,77.55225689185096
Mamborê,759,104,999.8610144927536,0.0,5251.384,84.84848484848484,40.82345191040843,655,13.70223978919631,Mamborê,paranaense,13452,13551,17.07,2511,2.5,6.49,63873.13,99.21,0.0,MAMBORE,56.01062652202789
Coronel Domingos Soares,757,76,688.3528137384412,0.0,532.6519999999698,74.63672391017172,38.71598414795245,681,10.039630118890356,Coronel Domingos Soares,paranaense,5649,5427,3.63,1295,2.2,8.77,58230.22,98.77,0.0,CORONEL DOMINGOS SOARES,139.4877464529206
Boa Vista da Aparecida,751,104,893.6462716378162,0.0,4916.66,77.49667110519307,38.728362183754996,647,13.84820239680426,Boa Vista da Aparecida,paranaense,7924,8023,29.77,1546,1.8,9.01,28071.29,98.22,273.8,BOA VISTA DA APARECIDA,93.60588308612738
Barbosa Ferraz,750,138,1379.1777066666666,0.0,6658.19,78.13333333333333,42.42666666666667,612,18.4,Barbosa Ferraz,paranaense,10795,10580,20.04,1791,2.0,16.26,31695.71,97.97,0.0,BARBOSA FERRAZ,70.88846880907371
Imbaú,746,111,871.5076675603217,0.0,4924.465,77.88203753351206,39.1769436997319,635,14.87935656836461,Imbaú,paranaense,14249,15068,43.08,2041,2.1,6.58,22490.76,94.87,0.0,IMBAU,49.50889301831696
Missal,733,138,1220.4679126875853,0.0,6049.640000000001,81.44611186903138,40.29604365620737,595,18.826739427012278,Missal,paranaense,11064,11423,34.11,2805,2.5,,44894.11,100.0,1389.3,MISSAL,64.16878228136217
São Jorge d'Oeste,733,109,1018.86826739427,0.0,4816.360000000003,77.62619372442019,38.427012278308325,624,14.870395634379264,São Jorge d'Oeste,paranaense,9378,9587,24.71,2927,2.1,8.33,56677.43,100.0,0.0,SAO JORGE D'OESTE,76.45770313966831
Nova Aurora,732,82,869.1547131147541,0.0,3145.4009999999876,82.37704918032787,42.923497267759565,650,11.202185792349727,Nova Aurora,paranaense,13765,14331,29.25,4412,2.1,,75612.98,98.8,196.9,NOVA AURORA,51.078082478543024
Tapejara,730,108,1009.9298493150685,0.0,5269.919000000005,78.08219178082192,43.83972602739726,622,14.794520547945206,Tapejara,paranaense,15869,16326,26.83,5625,2.2,12.42,46073.66,100.0,0.0,TAPEJARA,44.713953203479115
Jaguapitã,728,94,881.6848626373626,0.0,4848.262000000004,84.47802197802197,41.61538461538461,634,12.912087912087914,Jaguapitã,paranaense,15122,15908,31.84,7598,2.2,4.93,96051.01,99.44,6.4,JAGUAPITA,45.763138043751574
Bela Vista do Paraíso,717,148,1643.8816457461644,0.0,7247.372,75.31380753138075,44.12831241283124,569,20.641562064156208,Bela Vista do Paraíso,paranaense,14833,14982,61.12,3446,1.9,10.64,38026.96,96.56,6.7,BELA VISTA DO PARAISO,47.857428914697635
Rosário do Ivaí,713,113,1035.0627489481067,0.0,5171.074000000006,70.68723702664796,40.13183730715288,600,15.848527349228611,Rosário do Ivaí,paranaense,5435,5484,14.4,765,1.9,35.71,30660.21,98.81,0.0,ROSARIO DO IVAI,130.01458789204958
Catanduvas,702,113,1236.5827635327635,0.0,6037.722999999999,77.77777777777779,38.706552706552706,589,16.096866096866098,Catanduvas,paranaense,10446,10621,18.0,1784,2.1,,39602.22,99.32,0.0,CATANDUVAS,66.09547123623011
Peabiru,701,132,1203.0421255349502,0.0,5765.56,78.60199714693296,41.76034236804565,569,18.830242510699,Peabiru,paranaense,13346,13494,28.48,2510,2.2,6.06,39764.19,99.37,0.0,PEABIRU,51.94901437676004
Carlópolis,696,143,1408.3121264367817,0.0,6658.19,74.71264367816092,42.74568965517241,553,20.545977011494255,Carlópolis,paranaense,16905,17788,37.45,3190,1.7,4.29,34061.74,98.51,0.0,CARLOPOLIS,39.127501686530245
Marmeleiro,695,137,1367.6546043165467,0.0,6602.932000000001,83.02158273381295,41.81726618705036,558,19.71223021582734,Marmeleiro,paranaense,15901,16605,41.02,4557,2.2,28.3,46437.51,98.9,0.0,MARMELEIRO,41.85486299307437
Joaquim Távora,694,134,1375.8635878962536,0.0,6649.700000000001,77.80979827089337,41.9956772334294,560,19.30835734870317,Joaquim Távora,paranaense,11945,12341,41.31,6375,1.9,17.65,73021.84,100.0,211.7,JOAQUIM TAVORA,56.235313183696626
Vera Cruz do Oeste,681,99,965.1715859030836,0.0,5100.65,81.93832599118943,43.40528634361233,582,14.537444933920703,Vera Cruz do Oeste,paranaense,8215,8178,25.12,1462,2.2,,40852.94,94.61,158.0,VERA CRUZ DO OESTE,83.27219369038885
Diamante do Norte,680,117,1278.3230294117648,0.0,6658.19,72.35294117647058,44.38970588235294,563,17.205882352941178,Diamante do Norte,paranaense,5142,5139,21.17,916,2.1,,80500.47,99.4,77.5,DIAMANTE DO NORTE,132.321463319712
Araruna,673,132,1310.471218424963,0.0,6189.6820000000025,78.90044576523032,43.12332838038633,541,19.61367013372957,Araruna,paranaense,14485,14894,29.37,3627,2.2,17.65,43548.25,99.36,6.7,ARARUNA,45.1859809319189
Santa Isabel do Ivaí,670,102,1021.649104477612,0.0,5952.216,79.40298507462687,42.83731343283582,568,15.223880597014924,Santa Isabel do Ivaí,paranaense,8912,9043,25.5,1837,2.1,12.5,32954.62,98.89,11.0,SANTA ISABEL DO IVAI,74.09045670684507
Mallet,665,105,1064.7019097744362,0.0,5135.014,87.81954887218045,37.463157894736845,560,15.789473684210526,Mallet,paranaense,13428,13681,17.66,4000,2.5,,72484.08,98.55,0.0,MALLET,48.60755792705212
Cerro Azul,662,130,1322.1835498489427,0.0,6133.217,74.32024169184291,40.13293051359516,532,19.637462235649547,Cerro Azul,paranaense,16134,16287,12.03,2092,2.1,10.87,23181.48,98.85,49.3,CERRO AZUL,40.64591391907656
Ribeirão do Pinhal,658,150,1622.0537537993919,0.0,7514.7140000000045,82.37082066869301,43.743161094224924,508,22.796352583586625,Ribeirão do Pinhal,paranaense,13060,13158,34.85,2145,2.1,6.54,37360.89,100.0,22.8,RIBEIRAO DO PINHAL,50.00759993920049
Teixeira Soares,657,72,690.5603805175037,0.0,3088.3879999999945,76.86453576864535,38.143074581430746,585,10.95890410958904,Teixeira Soares,paranaense,9547,9540,10.57,1940,2.1,23.62,66312.25,99.55,0.0,TEIXEIRA SOARES,68.86792452830188
Espigão Alto do Iguaçu,653,79,761.2899846860643,0.0,3262.516000000023,77.6416539050536,37.30781010719755,574,12.098009188361408,Espigão Alto do Iguaçu,paranaense,4797,4880,14.69,778,2.0,17.54,42057.85,99.77,0.0,ESPIGAO ALTO DO IGUACU,133.81147540983608
Pérola,652,118,1151.8225306748466,0.0,5824.754,79.9079754601227,40.82055214723926,534,18.098159509202453,Pérola,paranaense,11878,12389,50.29,2703,2.0,7.81,30647.08,97.6,8.1,PEROLA,52.62733069658568
Ivaté,646,70,747.4550464396285,0.0,358.935,80.80495356037152,42.10681114551084,576,10.8359133126935,Ivaté,paranaense,6831,6788,16.65,2111,2.3,13.89,41052.52,98.2,0.0,IVATE,95.16794342958161
Tomazina,645,106,1183.941519379845,0.0,5563.510000000001,77.05426356589146,39.665116279069764,539,16.434108527131784,Tomazina,paranaense,8426,8523,14.25,1535,1.9,11.49,41593.23,98.63,329.6,TOMAZINA,75.67757831749384
Céu Azul,645,98,969.4342945736435,0.0,4909.448,86.20155038759691,40.46976744186046,547,15.193798449612403,Céu Azul,paranaense,11087,11255,9.4,3532,2.2,26.32,96562.03,99.09,88.9,CEU AZUL,57.307863171923586
Jataizinho,634,89,978.0450473186121,0.0,5108.85,78.54889589905363,42.65615141955836,545,14.037854889589903,Jataizinho,paranaense,11813,11996,74.21,2010,2.1,6.33,25520.19,99.39,0.0,JATAIZINHO,52.850950316772256
Tijucas do Sul,633,112,1316.5401263823064,0.0,6304.474000000009,72.98578199052133,37.37124802527646,521,17.69352290679305,Tijucas do Sul,paranaense,17621,18458,26.23,3427,2.1,13.76,31449.71,98.61,10.9,TIJUCAS DO SUL,34.29407303066421
Santa Cruz de Monte Castelo,633,119,1359.9217219589257,0.0,6167.974000000001,78.83096366508688,42.851500789889414,514,18.799368088467613,Santa Cruz de Monte Castelo,paranaense,8613,8840,19.49,1763,1.8,30.93,44952.45,99.74,0.0,SANTA CRUZ DE MONTE CASTELO,71.60633484162895
Douradina,630,75,842.1585079365079,0.0,3855.1820000000075,79.84126984126985,43.074603174603176,555,11.904761904761903,Douradina,paranaense,9161,9631,21.78,3698,2.9,24.39,93783.39,96.95,0.0,DOURADINA,65.4137680407019
Terra Boa,630,140,1909.1735714285717,0.0,7951.304000000003,75.87301587301587,43.560317460317464,490,22.22222222222222,Terra Boa,paranaense,17568,18168,54.75,5454,1.9,32.79,40409.98,99.72,22.2,TERRA BOA,34.67635402906208
Fernandes Pinheiro,628,71,757.1459076433121,0.0,3495.55,79.77707006369427,38.318471337579616,557,11.305732484076433,Fernandes Pinheiro,paranaense,6255,6400,15.39,978,2.2,12.82,51786.1,97.48,0.0,FERNANDES PINHEIRO,98.125
Tuneiras do Oeste,623,91,1025.9001123595506,0.0,4857.038000000002,82.98555377207063,43.052969502407706,532,14.606741573033707,Tuneiras do Oeste,paranaense,8067,8067,11.54,1046,1.7,11.49,36881.29,99.42,0.0,TUNEIRAS DO OESTE,77.22821371017727
Marilândia do Sul,617,101,1087.3117341977309,0.0,5154.887999999998,74.39222042139384,40.77147487844408,516,16.369529983792543,Marilândia do Sul,paranaense,8677,8761,22.57,1590,2.1,,58806.98,100.0,0.0,MARILANDIA DO SUL,70.42575048510444
Nova Cantu,616,75,819.2874999999999,0.0,4679.21,86.52597402597402,44.8198051948052,541,12.175324675324676,Nova Cantu,paranaense,6790,6739,12.22,1010,2.1,,50327.72,99.38,58.8,NOVA CANTU,91.40822080427363
Boa Ventura de São Roque,608,66,700.8768092105263,0.0,478.5250000000411,73.35526315789474,37.95723684210526,542,10.855263157894738,Boa Ventura de São Roque,paranaense,6378,6241,10.28,1404,2.5,11.76,72838.58,99.8,0.0,BOA VENTURA DE SAO ROQUE,97.42028521070341
Paranacity,606,90,1081.0595379537954,0.0,5405.38,78.71287128712872,41.336633663366335,516,14.85148514851485,Paranacity,paranaense,9557,9549,27.41,2958,2.4,,54160.22,100.0,0.0,PARANACITY,63.462142632736416
Nova Tebas,605,119,1377.7158512396693,0.0,6616.500000000002,76.03305785123968,40.34380165289256,486,19.669421487603305,Nova Tebas,paranaense,6848,6852,12.55,886,2.0,11.36,34638.13,99.62,131.0,NOVA TEBAS,88.29538820782254
Congonhinhas,595,99,1171.6336470588235,0.0,5322.770000000001,86.21848739495799,41.852100840336135,496,16.63865546218487,Congonhinhas,paranaense,8320,8445,15.52,1279,2.1,11.24,37201.52,99.03,0.0,CONGONHINHAS,70.4558910597987
São João,594,113,1500.5483501683502,0.0,6658.19,88.04713804713805,41.48316498316498,481,19.023569023569024,São João,paranaense,11886,12297,30.63,4936,1.5,7.52,102656.75,98.49,0.0,SAO JOAO,48.304464503537446
Itapejara d'Oeste,593,99,1227.29173693086,0.0,6250.922000000001,87.01517706576728,40.51433389544688,494,16.694772344013494,Itapejara d'Oeste,paranaense,12344,12869,48.6,4817,2.1,,78624.87,98.43,0.0,ITAPEJARA D'OESTE,46.07972647447354
Laranjal,592,69,788.3250506756757,0.0,2940.3879999999895,77.87162162162163,38.10304054054054,523,11.655405405405405,Laranjal,paranaense,5600,5525,10.01,624,2.0,13.33,22407.71,99.75,0.0,LARANJAL,107.14932126696833
Lindoeste,589,70,878.8524448217316,0.0,4578.390000000004,82.51273344651952,37.82342954159593,519,11.884550084889643,Lindoeste,paranaense,5175,5217,14.91,995,2.4,,48127.01,100.0,153.1,LINDOESTE,112.90013417672992
