city,demonym,population_last_census,population_estimated,population_density,formal_jobs,formal_jobs_avg_salary_min_wage,infant_mortality_per_thousand,gdp_per_capita_brl,school_attendance_6_14_pct,diarrhea_hospitalizations_per_100k,city_key
General Carneiro,paranaense,11062,10691,10.33,2643,1.9,24.15,39531.18,98.76,0.0,GENERAL CARNEIRO
Godoy Moreira,paranaense,2977,2911,22.72,365,2.1,35.71,32291.91,100.0,0.0,GODOY MOREIRA
Goioerê,paranaense,28437,30025,50.41,7462,2.1,15.72,46969.32,99.0,31.1,GOIOERE
Goioxim,paranaense,6566,6469,9.35,877,2.2,31.58,47001.54,98.74,0.0,GOIOXIM
Grandes Rios,paranaense,5641,5527,17.95,906,1.9,14.71,31475.87,97.03,0.0,GRANDES RIOS
Guaíra,paranaense,32097,33058,56.94,7420,2.1,8.77,44828.06,99.39,18.2,GUAIRA
Guairaçá,paranaense,6587,6762,13.34,991,2.4,30.0,61458.48,99.31,14.9,GUAIRACA
Guamiranga,paranaense,7856,7916,32.09,1254,1.9,,45451.12,100.0,0.0,GUAMIRANGA
Guapirama,paranaense,4626,4857,24.46,919,2.1,13.89,49485.22,100.0,0.0,GUAPIRAMA
Guaporema,paranaense,2191,2210,10.89,414,2.4,41.67,48463.12,100.0,0.0,GUAPOREMA
Guaraci,paranaense,4748,4743,22.43,914,2.2,20.0,40499.33,96.09,0.0,GUARACI
Guaraniaçu,paranaense,13735,13770,11.09,3317,2.0,28.17,43991.58,98.89,405.4,GUARANIACU
Guarapuava,paranaense,182093,189630,57.48,62767,2.6,14.25,54170.74,98.85,53.0,GUARAPUAVA
Guaraqueçaba,paranaense,7430,7446,3.69,699,1.7,25.97,19660.96,98.38,0.0,GUARAQUECABA
Guaratuba,paranaense,42062,44913,31.7,10562,2.1,19.05,29027.37,98.46,2.3,GUARATUBA
Honório Serpa,paranaense,4941,4803,9.84,955,2.5,13.51,78227.21,99.41,0.0,HONORIO SERPA
Ibaiti,paranaense,28830,29464,32.1,8927,1.8,16.91,42887.86,99.26,34.0,IBAITI
Ibema,paranaense,6218,6343,42.75,1505,2.0,23.53,33465.91,98.21,110.6,IBEMA
Ibiporã,paranaense,51603,53276,173.31,18520,2.4,12.72,78248.45,99.41,47.1,IBIPORA
Icaraíma,paranaense,8991,9149,13.32,1507,2.2,26.55,36603.92,100.0,0.0,ICARAIMA
Iguaraçu,paranaense,5338,5693,32.35,1687,2.1,,50048.33,97.38,0.0,IGUARACU
Iguatu,paranaense,2144,2156,20.05,421,2.2,,44212.2,97.91,0.0,IGUATU
Imbaú,paranaense,14249,15068,43.08,2041,2.1,6.58,22490.76,94.87,0.0,IMBAU
Imbituva,paranaense,29924,30849,39.55,9871,1.8,9.43,50241.2,99.12,0.0,IMBITUVA
Inácio Martins,paranaense,9670,9555,10.33,2133,1.9,15.63,25847.91,98.66,0.0,INACIO MARTINS
Inajá,paranaense,2536,2481,13.02,315,2.2,,30062.76,100.0,0.0,INAJA
Indianópolis,paranaense,4448,4544,36.27,1455,2.2,40.0,173682.59,97.76,1037.3,INDIANOPOLIS
Ipiranga,paranaense,14142,14317,15.7,2425,2.2,13.7,54879.34,99.69,0.0,IPIRANGA
Iporã,paranaense,15746,16102,24.3,4637,2.1,23.26,53982.44,100.0,99.6,IPORA
Iracema do Oeste,paranaense,2343,2328,28.74,447,2.3,52.63,53805.14,95.54,0.0,IRACEMA DO OESTE
Irati,paranaense,59250,61004,59.28,17104,2.1,7.79,47529.86,99.85,70.7,IRATI
Iretama,paranaense,10684,10832,18.73,2113,2.3,21.58,38330.96,99.5,0.0,IRETAMA
Itaguajé,paranaense,4481,4530,23.06,744,2.2,,36664.75,98.75,0.0,ITAGUAJE
Itaipulândia,paranaense,11485,12116,34.71,4217,2.2,6.94,49349.2,100.0,0.0,ITAIPULANDIA
Itambaracá,paranaense,5908,5819,28.49,1045,2.0,17.24,47300.82,99.62,34.0,ITAMBARACA
Itambé,paranaense,6111,6228,25.06,1117,2.2,,45168.14,98.9,0.0,ITAMBE
Itapejara d'Oeste,paranaense,12344,12869,48.6,4817,2.1,,78624.87,98.43,0.0,ITAPEJARA D'OESTE
Itaperuçu,paranaense,31217,33310,96.65,6100,1.6,16.67,25618.02,98.61,88.2,ITAPERUCU
Itaúna do Sul,paranaense,3572,3607,27.72,562,2.1,22.22,42504.16,100.0,27.6,ITAUNA DO SUL
Ivaí,paranaense,13229,13476,21.76,2176,1.6,14.71,53751.06,99.6,22.3,IVAI
Ivaiporã,paranaense,32720,33566,74.88,9332,1.9,12.66,34910.34,99.92,44.7,IVAIPORA
Ivaté,paranaense,6831,6788,16.65,2111,2.3,13.89,41052.52,98.2,0.0,IVATE
Ivatuba,paranaense,2708,2685,28.02,870,2.0,33.33,61748.43,99.3,0.0,IVATUBA
Jaboti,paranaense,5427,5655,38.97,871,1.9,,28851.21,94.87,0.0,JABOTI
Jacarezinho,paranaense,40375,41493,67.01,13132,2.3,17.82,48470.43,100.0,26.6,JACAREZINHO
Jaguapitã,paranaense,15122,15908,31.84,7598,2.2,4.93,96051.01,99.44,6.4,JAGUAPITA
Jaguariaíva,paranaense,35141,36384,24.18,12023,2.2,8.37,58693.11,100.0,5.5,JAGUARIAIVA
Jandaia do Sul,paranaense,21408,21930,114.12,8583,2.0,33.06,44978.71,95.8,155.6,JANDAIA DO SUL
Janiópolis,paranaense,5870,5807,17.49,880,2.0,16.13,57397.87,99.62,0.0,JANIOPOLIS
Japira,paranaense,4972,5054,26.47,716,1.8,,34179.34,98.05,0.0,JAPIRA
Japurá,paranaense,9144,9393,55.36,2965,2.2,18.35,48327.59,100.0,416.9,JAPURA
Jardim Alegre,paranaense,12004,12138,29.04,2578,2.3,16.67,35358.97,98.46,0.0,JARDIM ALEGRE
Jardim Olinda,paranaense,1343,1349,10.45,413,2.2,111.11,58807.74,100.0,0.0,JARDIM OLINDA
Jataizinho,paranaense,11813,11996,74.21,2010,2.1,6.33,25520.19,99.39,0.0,JATAIZINHO
Jesuítas,paranaense,10506,10954,42.45,1895,2.1,,52977.91,100.0,9.2,JESUITAS
Joaquim Távora,paranaense,11945,12341,41.31,6375,1.9,17.65,73021.84,100.0,211.7,JOAQUIM TAVORA
Jundiaí do Sul,paranaense,3333,3372,10.39,452,2.3,,47213.06,97.77,0.0,JUNDIAI DO SUL
Juranda,paranaense,7771,7899,21.93,1498,1.9,22.22,63966.87,99.56,0.0,JURANDA
Jussara,paranaense,6690,6786,31.73,2873,2.5,,55375.88,98.52,58.9,JUSSARA
Kaloré,paranaense,4582,4666,23.7,1005,1.7,,43918.88,99.48,0.0,KALORE
Lapa,paranaense,45003,45878,21.49,11612,2.2,13.08,58830.87,99.21,8.7,LAPA
Laranjal,paranaense,5600,5525,10.01,624,2.0,13.33,22407.71,99.75,0.0,LARANJAL
Laranjeiras do Sul,paranaense,32227,33179,47.84,8320,2.0,14.52,38195.42,98.79,99.7,LARANJEIRAS DO SUL
Leópolis,paranaense,3752,3725,10.88,550,2.4,31.25,60266.0,100.0,0.0,LEOPOLIS
Lidianópolis,paranaense,3938,3987,26.0,664,2.2,,37287.16,97.06,0.0,LIDIANOPOLIS
Lindoeste,paranaense,5175,5217,14.91,995,2.4,,48127.01,100.0,153.1,LINDOESTE
Loanda,paranaense,23225,23966,32.15,8491,1.9,20.76,39155.41,98.56,923.9,LOANDA
Lobato,paranaense,4601,4707,19.1,1079,2.5,71.43,72455.61,100.0,0.0,LOBATO
Londrina,paranaense,555965,581382,336.42,242760,2.6,11.81,50362.05,98.47,24.1,LONDRINA
Luiziana,paranaense,6690,6659,7.3,1259,2.3,,89587.6,99.01,0.0,LUIZIANA
Lunardelli,paranaense,4872,4864,24.46,823,1.9,,30231.87,97.8,469.2,LUNARDELLI
Lupionópolis,paranaense,4813,4929,39.76,1143,1.9,25.64,34250.14,99.51,0.0,LUPIONOPOLIS
Mallet,paranaense,13428,13681,17.66,4000,2.5,,72484.08,98.55,0.0,MALLET
Mamborê,paranaense,13452,13551,17.07,2511,2.5,6.49,63873.13,99.21,0.0,MAMBORE
Mandaguaçu,paranaense,31457,34521,106.99,7137,2.3,13.7,31643.51,98.63,0.0,MANDAGUACU
Mandaguari,paranaense,36716,38313,109.33,16829,2.2,2.21,79434.03,98.39,0.0,MANDAGUARI
Mandirituba,paranaense,27439,29104,72.36,6492,2.1,12.2,29207.79,98.47,7.0,MANDIRITUBA
Manfrinópolis,paranaense,2770,2790,12.84,622,2.0,,37689.28,100.0,0.0,MANFRINOPOLIS
Mangueirinha,paranaense,16603,16737,15.73,4157,2.3,10.49,112613.05,98.9,71.6,MANGUEIRINHA
Manoel Ribas,paranaense,14240,14675,24.93,2877,2.3,14.02,46081.2,99.95,27.4,MANOEL RIBAS
Marechal Cândido Rondon,paranaense,55836,58734,74.87,23593,2.4,9.43,70187.82,98.07,17.2,MARECHAL CANDIDO RONDON
Maria Helena,paranaense,5865,5926,12.06,886,1.9,,30077.96,99.44,0.0,MARIA HELENA
Marialva,paranaense,41851,44749,88.0,13384,2.5,12.22,70837.51,99.28,0.0,MARIALVA
Marilândia do Sul,paranaense,8677,8761,22.57,1590,2.1,,58806.98,100.0,0.0,MARILANDIA DO SUL
Marilena,paranaense,7253,7450,31.21,1498,1.9,10.42,32708.81,99.26,364.4,MARILENA
Mariluz,paranaense,9847,9910,22.73,1299,2.1,8.4,41023.34,99.26,0.0,MARILUZ
Maringá,paranaense,409657,429660,841.16,241694,2.7,10.82,67903.99,99.3,12.2,MARINGA
Mariópolis,paranaense,6371,6506,27.66,1922,2.5,,86961.81,99.61,0.0,MARIOPOLIS
Maripá,paranaense,6555,6824,23.1,1688,2.5,,81721.35,97.67,0.0,MARIPA
Marmeleiro,paranaense,15901,16605,41.02,4557,2.2,28.3,46437.51,98.9,0.0,MARMELEIRO
Marquinho,paranaense,4504,4491,8.94,587,2.1,34.48,29896.39,98.57,0.0,MARQUINHO
Marumbi,paranaense,4699,4780,22.54,1074,1.6,,28583.37,93.77,0.0,MARUMBI
Matelândia,paranaense,18450,19223,28.84,12342,1.9,4.07,78092.93,97.81,94.6,MATELANDIA
Matinhos,paranaense,39259,42063,332.99,9878,2.1,24.67,29246.91,98.92,0.0,MATINHOS
Mato Rico,paranaense,3267,3249,8.28,484,2.2,35.71,48162.76,100.0,0.0,MATO RICO
Mauá da Serra,paranaense,9383,9689,86.62,3157,1.8,7.58,56188.01,99.24,0.0,MAUA DA SERRA
Medianeira,paranaense,54369,57910,165.39,26172,2.4,9.89,55318.22,90.75,82.3,MEDIANEIRA
Mercedes,paranaense,5931,6194,30.09,1382,2.4,14.08,52582.83,100.0,0.0,MERCEDES
Mirador,paranaense,2238,2248,10.09,448,2.2,,79981.83,100.0,0.0,MIRADOR
Miraselva,paranaense,1966,2017,21.77,351,2.1,,35296.98,98.08,0.0,MIRASELVA
Missal,paranaense,11064,11423,34.11,2805,2.5,,44894.11,100.0,1389.3,MISSAL
Moreira Sales,paranaense,11175,9949,31.59,1807,2.2,15.15,34192.25,100.0,0.0,MOREIRA SALES
Morretes,paranaense,18309,19089,26.74,3772,2.0,26.6,29204.87,98.6,5.3,MORRETES
Munhoz de Melo,paranaense,3951,4057,28.84,709,2.0,,44713.57,100.0,0.0,MUNHOZ DE MELO
Nossa Senhora das Graças,paranaense,3669,3669,19.75,535,1.9,,34590.58,100.0,0.0,NOSSA SENHORA DAS GRACAS
Nova Aliança do Ivaí,paranaense,1323,1322,10.08,298,2.1,,53846.04,98.65,0.0,NOVA ALIANCA DO IVAI
Nova América da Colina,paranaense,3280,3286,25.33,590,2.5,27.03,32956.41,97.76,0.0,NOVA AMERICA DA COLINA
Nova Aurora,paranaense,13765,14331,29.25,4412,2.1,,75612.98,98.8,196.9,NOVA AURORA
Nova Cantu,paranaense,6790,6739,12.22,1010,2.1,,50327.72,99.38,58.8,NOVA CANTU
Nova Esperança,paranaense,26585,27142,66.2,7069,2.0,3.44,47150.58,98.0,3.7,NOVA ESPERANCA
Nova Esperança do Sudoeste,paranaense,5597,5783,26.85,1401,2.1,10.75,35513.61,97.79,87.0,NOVA ESPERANCA DO SUDOESTE
Nova Fátima,paranaense,7225,7140,25.49,1251,2.3,,45319.52,99.22,236.1,NOVA FATIMA
Nova Laranjeiras,paranaense,12074,12298,9.98,1114,2.2,5.62,31337.75,99.4,0.0,NOVA LARANJEIRAS
Nova Londrina,paranaense,12923,13074,47.97,5408,2.0,6.67,55592.2,97.58,259.8,NOVA LONDRINA
Nova Olímpia,paranaense,5833,5982,42.78,1356,1.8,15.63,22756.95,100.0,33.6,NOVA OLIMPIA
Nova Prata do Iguaçu,paranaense,12699,13340,36.02,2512,2.1,,44107.75,99.79,0.0,NOVA PRATA DO IGUACU
Nova Santa Bárbara,paranaense,4184,4308,54.42,595,2.3,23.26,31455.2,84.78,0.0,NOVA SANTA BARBARA
Nova Santa Rosa,paranaense,8322,8581,40.66,2561,2.2,,58192.18,98.95,0.0,NOVA SANTA ROSA
Nova Tebas,paranaense,6848,6852,12.55,886,2.0,11.36,34638.13,99.62,131.0,NOVA TEBAS
Novo Itacolomi,paranaense,3125,3227,19.36,861,1.8,,39975.22,100.0,0.0,NOVO ITACOLOMI
Ortigueira,paranaense,24192,24706,9.96,7645,3.6,8.4,148490.0,99.52,0.0,ORTIGUEIRA
Ourizona,paranaense,3187,3193,18.06,568,2.3,,58541.87,99.37,0.0,OURIZONA
Ouro Verde do Oeste,paranaense,6785,7102,23.15,1230,2.3,,43793.26,99.18,0.0,OURO VERDE DO OESTE
Paiçandu,paranaense,45962,48695,268.19,10017,1.7,11.86,29205.9,99.64,4.1,PAICANDU
Palmas,paranaense,48247,50238,30.97,13803,2.1,17.65,35819.06,97.91,188.4,PALMAS
Palmeira,paranaense,33855,34948,23.03,10404,2.2,14.05,65573.86,98.41,28.7,PALMEIRA
Palmital,paranaense,13033,12879,15.94,2127,2.1,11.76,31211.59,99.21,0.0,PALMITAL
Palotina,paranaense,35011,37039,53.76,21558,2.4,6.02,105626.67,98.98,232.1,PALOTINA
Paraíso do Norte,paranaense,13245,13728,64.75,5823,2.2,23.26,40273.86,100.0,0.0,PARAISO DO NORTE
Paranacity,paranaense,9557,9549,27.41,2958,2.4,,54160.22,100.0,0.0,PARANACITY
Paranaguá,paranaense,145829,150104,177.23,51567,2.7,7.66,104860.51,98.86,16.0,PARANAGUA
Paranapoema,paranaense,2398,2352,13.63,644,2.0,100.0,37022.83,99.32,0.0,PARANAPOEMA
Paranavaí,paranaense,92001,96209,76.52,32172,2.2,14.15,45540.43,98.33,6.3,PARANAVAI
Pato Bragado,paranaense,5733,6004,42.28,1869,2.2,20.41,47051.07,99.16,841.9,PATO BRAGADO
Pato Branco,paranaense,91836,97821,170.35,45666,2.6,9.77,63350.93,98.67,71.4,PATO BRANCO
Paula Freitas,paranaense,5666,5706,13.45,1301,1.9,,86221.59,98.98,0.0,PAULA FREITAS
Paulo Frontin,paranaense,6343,6414,17.46,1143,2.3,,74705.21,100.0,0.0,PAULO FRONTIN
Peabiru,paranaense,13346,13494,28.48,2510,2.2,6.06,39764.19,99.37,0.0,PEABIRU
Perobal,paranaense,7189,7599,17.57,1301,2.2,8.4,49373.82,99.53,0.0,PEROBAL
Pérola,paranaense,11878,12389,50.29,2703,2.0,7.81,30647.08,97.6,8.1,PEROLA
Pérola d'Oeste,paranaense,6221,6218,30.31,1500,2.1,,43479.73,100.0,0.0,PEROLA D'OESTE
Piên,paranaense,13655,14409,53.59,3624,2.8,10.0,62484.45,98.6,63.5,PIEN
Pinhais,paranaense,127019,131255,2086.76,62598,2.5,9.11,77567.93,98.66,45.7,PINHAIS
Pinhal de São Bento,paranaense,2761,2805,28.33,459,1.9,,29736.89,100.0,0.0,PINHAL DE SAO BENTO
Pinhalão,paranaense,6566,6676,29.76,1116,1.7,,38365.93,100.0,0.0,PINHALAO
Pinhão,paranaense,29886,30451,14.93,4227,2.2,20.28,61938.97,98.19,0.0,PINHAO
Piraí do Sul,paranaense,23651,23977,17.58,5731,2.6,6.76,60939.33,99.41,12.5,PIRAI DO SUL
Piraquara,paranaense,118730,127433,522.94,14015,2.4,13.0,16015.58,99.19,0.0,PIRAQUARA
Pitanga,paranaense,33567,34527,20.18,8390,2.1,7.48,43017.52,98.85,226.0,PITANGA
Pitangueiras,paranaense,3046,3141,24.72,558,2.3,29.41,52715.86,100.0,0.0,PITANGUEIRAS
Planaltina do Paraná,paranaense,4070,4125,11.43,1028,2.0,,36741.98,100.0,72.8,PLANALTINA DO PARANA
Planalto,paranaense,14374,14722,41.51,2926,2.1,,36597.18,99.7,54.6,PLANALTO
Ponta Grossa,paranaense,358371,375632,174.41,131282,2.5,7.78,71387.82,99.12,1.6,PONTA GROSSA
Pontal do Paraná,paranaense,30425,33131,151.81,6928,2.0,19.89,26613.26,94.03,0.0,PONTAL DO PARANA
Porecatu,paranaense,11624,11271,39.85,2638,1.7,,63054.76,98.36,17.5,PORECATU
Porto Amazonas,paranaense,4098,4072,21.96,2061,2.6,,95573.82,100.0,0.0,PORTO AMAZONAS
Porto Barreiro,paranaense,3110,3057,8.61,440,2.9,55.56,54394.82,98.86,0.0,PORTO BARREIRO
Porto Rico,paranaense,3182,3370,14.62,1196,2.3,16.39,48076.83,100.0,90.5,PORTO RICO
Porto Vitória,paranaense,3562,3515,16.72,859,1.8,,27608.39,100.0,0.0,PORTO VITORIA
Prado Ferreira,paranaense,3709,3816,24.26,949,2.8,,56067.67,98.86,0.0,PRADO FERREIRA
Pranchita,paranaense,5737,5831,25.37,1843,2.1,,66007.87,99.54,222.9,PRANCHITA
Presidente Castelo Branco,paranaense,4336,4304,27.84,875,2.0,,45464.85,100.0,0.0,PRESIDENTE CASTELO BRANCO
Primeiro de Maio,paranaense,10082,10064,24.33,2023,2.3,9.52,45871.5,98.97,9.9,PRIMEIRO DE MAIO
Prudentópolis,paranaense,49393,50946,21.98,10722,2.0,9.38,38587.32,99.79,101.1,PRUDENTOPOLIS
Quarto Centenário,paranaense,4201,4127,13.05,852,2.4,,97362.29,98.14,0.0,QUARTO CENTENARIO
Quatiguá,paranaense,8099,8426,71.87,2050,1.9,36.14,30189.72,100.0,0.0,QUATIGUA
Quatro Barras,paranaense,24191,25397,134.04,12085,3.3,12.4,96572.32,99.49,0.0,QUATRO BARRAS
