city,demonym,population_last_census,population_estimated,population_density,formal_jobs,formal_jobs_avg_salary_min_wage,infant_mortality_per_thousand,gdp_per_capita_brl,school_attendance_6_14_pct,diarrhea_hospitalizations_per_100k,city_key
Rio Branco do Ivaí,paranaense,3808,3841,10.12,619,2.0,,45876.97,99.45,0.0,RIO BRANCO DO IVAI
Rio Branco do Sul,paranaense,37558,40308,46.29,7828,2.3,7.55,49279.13,94.64,15.3,RIO BRANCO DO SUL
Rio Negro,paranaense,31324,31951,51.85,9634,2.3,14.45,46487.19,99.1,43.8,RIO NEGRO
Rolândia,paranaense,71670,75818,156.14,30618,2.3,12.89,64220.79,99.03,52.0,ROLANDIA
Roncador,paranaense,11251,11339,15.16,1818,2.4,6.71,56837.11,98.96,606.8,RONCADOR
Rondon,paranaense,9097,9255,16.39,4090,2.1,,59221.26,99.6,1471.9,RONDON
Rosário do Ivaí,paranaense,5435,5484,14.4,765,1.9,35.71,30660.21,98.81,0.0,ROSARIO DO IVAI
Sabáudia,paranaense,8822,9511,46.35,5260,2.0,42.37,84033.62,99.78,0.0,SABAUDIA
Salgado Filho,paranaense,4075,4090,22.51,965,1.8,,35479.95,100.0,0.0,SALGADO FILHO
Salto do Itararé,paranaense,5192,5214,25.89,766,1.7,,23913.67,99.07,0.0,SALTO DO ITARARE
Salto do Lontra,paranaense,15223,15706,48.68,3675,1.7,6.33,41283.22,99.61,0.0,SALTO DO LONTRA
Santa Amélia,paranaense,3394,3358,43.49,484,2.2,,41703.65,99.06,0.0,SANTA AMELIA
Santa Cecília do Pavão,paranaense,3365,3357,32.02,589,2.0,24.39,53243.98,99.46,0.0,SANTA CECILIA DO PAVAO
Santa Cruz de Monte Castelo,paranaense,8613,8840,19.49,1763,1.8,30.93,44952.45,99.74,0.0,SANTA CRUZ DE MONTE CASTELO
Santa Fé,paranaense,11378,11730,41.19,3502,1.8,7.19,39541.74,99.59,0.0,SANTA FE
Santa Helena,paranaense,25492,26461,33.78,7042,2.5,3.02,64374.87,98.25,102.5,SANTA HELENA
Santa Inês,paranaense,1748,1745,11.14,309,2.2,,48715.71,100.0,0.0,SANTA INES
Santa Isabel do Ivaí,paranaense,8912,9043,25.5,1837,2.1,12.5,32954.62,98.89,11.0,SANTA ISABEL DO IVAI
Santa Izabel do Oeste,paranaense,14070,14462,43.81,3130,2.1,6.13,36537.21,97.49,125.1,SANTA IZABEL DO OESTE
Santa Lúcia,paranaense,3644,3638,28.74,729,2.0,23.26,43410.54,100.0,0.0,SANTA LUCIA
Santa Maria do Oeste,paranaense,9934,9869,11.87,1161,2.3,23.26,35195.52,99.13,0.0,SANTA MARIA DO OESTE
Santa Mariana,paranaense,11066,10941,25.9,2051,2.3,8.85,44999.22,96.01,190.3,SANTA MARIANA
Santa Mônica,paranaense,3356,3361,12.91,619,2.0,30.3,34407.39,98.18,0.0,SANTA MONICA
Santa Tereza do Oeste,paranaense,13174,13938,40.39,3826,2.4,15.38,54145.66,99.26,0.0,SANTA TEREZA DO OESTE
Santa Terezinha de Itaipu,paranaense,24262,25300,90.44,5128,2.1,19.23,31536.73,99.34,0.0,SANTA TEREZINHA DE ITAIPU
Santana do Itararé,paranaense,5514,5646,21.94,880,1.8,,33377.18,99.06,0.0,SANTANA DO ITARARE
Santo Antônio da Platina,paranaense,44369,45628,61.5,13921,1.9,5.21,41422.7,99.04,158.1,SANTO ANTONIO DA PLATINA
Santo Antônio do Caiuá,paranaense,2493,2474,11.38,455,2.1,43.48,28089.38,100.0,240.4,SANTO ANTONIO DO CAIUA
Santo Antônio do Paraíso,paranaense,2125,2088,12.72,469,1.6,,54023.07,100.0,0.0,SANTO ANTONIO DO PARAISO
Santo Antônio do Sudoeste,paranaense,23673,24980,72.69,5794,1.8,14.81,33999.34,98.67,681.7,SANTO ANTONIO DO SUDOESTE
Santo Inácio,paranaense,6181,6463,22.06,4960,2.5,11.9,135370.89,99.22,0.0,SANTO INACIO
São Carlos do Ivaí,paranaense,6587,6727,29.27,2277,2.4,34.88,86205.53,98.2,163.9,SAO CARLOS DO IVAI
São Jerônimo da Serra,paranaense,10830,10884,13.15,1262,2.2,24.69,32253.51,98.72,0.0,SAO JERONIMO DA SERRA
São João,paranaense,11886,12297,30.63,4936,1.5,7.52,102656.75,98.49,0.0,SAO JOAO
São João do Caiuá,paranaense,5586,5607,18.35,849,2.3,,34310.0,98.9,35.6,SAO JOAO DO CAIUA
São João do Ivaí,paranaense,10667,10639,30.19,1953,1.9,23.08,38494.18,100.0,37.4,SAO JOAO DO IVAI
São João do Triunfo,paranaense,13726,13899,19.05,1547,2.4,19.87,63813.74,100.0,0.0,SAO JOAO DO TRIUNFO
São Jorge do Ivaí,paranaense,5168,5170,16.4,1187,2.4,23.26,80750.08,99.4,0.0,SAO JORGE DO IVAI
São Jorge do Patrocínio,paranaense,6504,6690,16.0,1344,2.1,14.08,28172.13,98.46,15.0,SAO JORGE DO PATROCINIO
São Jorge d'Oeste,paranaense,9378,9587,24.71,2927,2.1,8.33,56677.43,100.0,0.0,SAO JORGE D'OESTE
São José da Boa Vista,paranaense,6040,6023,15.11,995,1.8,24.39,38516.72,98.24,16.5,SAO JOSE DA BOA VISTA
São José das Palmeiras,paranaense,3957,4031,21.69,578,2.2,,27716.37,100.0,49.6,SAO JOSE DAS PALMEIRAS
São José dos Pinhais,paranaense,329628,349880,348.28,146637,3.1,7.8,103019.05,99.06,6.7,SAO JOSE DOS PINHAIS
São Manoel do Paraná,paranaense,2138,2176,22.42,665,2.0,90.91,38835.58,92.22,0.0,SAO MANOEL DO PARANA
São Mateus do Sul,paranaense,42366,43490,31.58,13077,2.2,9.86,45653.17,98.93,16.1,SAO MATEUS DO SUL
São Miguel do Iguaçu,paranaense,29122,30416,34.18,8957,2.2,4.89,50972.2,98.88,9.9,SAO MIGUEL DO IGUACU
São Pedro do Iguaçu,paranaense,5784,5730,18.76,825,2.6,12.35,46313.37,99.4,0.0,SAO PEDRO DO IGUACU
São Pedro do Ivaí,paranaense,8690,8514,26.93,2338,2.1,,52135.59,99.39,197.4,SAO PEDRO DO IVAI
São Pedro do Paraná,paranaense,2661,2726,10.62,842,2.1,,41823.02,100.0,0.0,SAO PEDRO DO PARANA
São Sebastião da Amoreira,paranaense,8063,8063,35.54,1571,1.7,11.36,34424.99,100.0,0.0,SAO SEBASTIAO DA AMOREIRA
São Tomé,paranaense,5232,5282,23.93,1090,2.2,,42277.13,99.68,0.0,SAO TOME
Sapopema,paranaense,6695,6778,9.88,1568,2.0,9.9,27337.32,98.32,0.0,SAPOPEMA
Sarandi,paranaense,118455,128106,1144.48,20707,2.1,12.89,20249.8,97.99,1.6,SARANDI
Saudade do Iguaçu,paranaense,6108,6413,40.16,1407,2.8,40.54,187201.61,98.52,0.0,SAUDADE DO IGUACU
Sengés,paranaense,17270,17256,11.98,5983,2.1,11.72,40007.2,99.34,0.0,SENGES
Serranópolis do Iguaçu,paranaense,5007,5161,10.38,930,2.5,,54438.48,99.35,0.0,SERRANOPOLIS DO IGUACU
Sertaneja,paranaense,5616,5654,12.63,1206,2.6,34.48,82925.93,100.0,0.0,SERTANEJA
Sertanópolis,paranaense,15930,16210,31.51,5675,2.0,11.49,54232.95,99.66,6.2,SERTANOPOLIS
Siqueira Campos,paranaense,22811,24031,82.04,9522,1.8,6.15,37311.87,99.32,345.8,SIQUEIRA CAMPOS
Sulina,paranaense,3440,3498,20.15,673,2.5,,55517.17,99.19,0.0,SULINA
Tamarana,paranaense,10707,10540,22.68,2281,2.3,23.39,44325.79,98.02,9.4,TAMARANA
Tamboara,paranaense,4880,4986,25.24,1070,2.3,37.74,37734.73,97.05,0.0,TAMBOARA
Tapejara,paranaense,15869,16326,26.83,5625,2.2,12.42,46073.66,100.0,0.0,TAPEJARA
Tapira,paranaense,5745,5807,13.23,1080,2.1,18.18,32674.36,97.03,0.0,TAPIRA
Teixeira Soares,paranaense,9547,9540,10.57,1940,2.1,23.62,66312.25,99.55,0.0,TEIXEIRA SOARES
Telêmaco Borba,paranaense,75042,77479,54.27,25652,3.0,10.97,85411.18,98.93,1.3,TELEMACO BORBA
Terra Boa,paranaense,17568,18168,54.75,5454,1.9,32.79,40409.98,99.72,22.2,TERRA BOA
Terra Rica,paranaense,14842,14961,21.18,3598,2.3,12.66,36352.67,98.95,73.4,TERRA RICA
Terra Roxa,paranaense,18119,18636,22.63,4309,2.0,20.66,50852.69,99.23,0.0,TERRA ROXA
Tibagi,paranaense,19961,20374,6.7,3668,2.3,3.5,72572.74,99.32,49.3,TIBAGI
Tijucas do Sul,paranaense,17621,18458,26.23,3427,2.1,13.76,31449.71,98.61,10.9,TIJUCAS DO SUL
Toledo,paranaense,150470,160701,125.6,78919,2.3,8.81,63192.47,99.68,30.3,TOLEDO
Tomazina,paranaense,8426,8523,14.25,1535,1.9,11.49,41593.23,98.63,329.6,TOMAZINA
Três Barras do Paraná,paranaense,11135,11157,22.03,2478,2.2,,40731.89,99.24,312.6,TRES BARRAS DO PARANA
Tunas do Paraná,paranaense,6219,6304,9.3,1866,1.9,17.09,22908.32,100.0,0.0,TUNAS DO PARANA
Tuneiras do Oeste,paranaense,8067,8067,11.54,1046,1.7,11.49,36881.29,99.42,0.0,TUNEIRAS DO OESTE
Tupãssi,paranaense,8077,8208,26.94,1573,2.5,27.03,64432.01,98.87,0.0,TUPASSI
Turvo,paranaense,14231,14101,15.16,2907,2.3,14.49,49038.74,99.1,380.8,TURVO
Ubiratã,paranaense,24749,25732,37.92,10654,2.0,5.97,86060.93,99.32,109.7,UBIRATA
Umuarama,paranaense,117095,123059,94.85,45179,2.1,13.13,43528.72,99.19,25.4,UMUARAMA
União da Vitória,paranaense,55033,56560,76.43,19509,2.1,10.25,40400.71,98.74,94.0,UNIAO DA VITORIA
Uniflor,paranaense,2136,2106,22.53,480,2.1,,61640.73,98.34,0.0,UNIFLOR
Uraí,paranaense,10406,10308,43.76,1865,2.0,,37963.93,99.28,76.9,URAI
Ventania,paranaense,9681,9760,11.82,2458,2.0,23.81,39126.52,98.75,0.0,VENTANIA
Vera Cruz do Oeste,paranaense,8215,8178,25.12,1462,2.2,,40852.94,94.61,158.0,VERA CRUZ DO OESTE
Verê,paranaense,7932,8077,25.44,2189,2.1,20.2,76503.8,99.62,49.7,VERE
Virmond,paranaense,3811,3828,15.3,844,2.0,,63389.93,100.0,0.0,VIRMOND
Vitorino,paranaense,9706,10549,31.49,2520,2.1,20.41,65013.87,97.79,0.0,VITORINO
Wenceslau Braz,paranaense,19188,19398,48.22,4866,1.9,22.64,39986.24,100.0,92.6,WENCESLAU BRAZ
Xambrê,paranaense,5798,5835,16.12,972,1.8,,23887.13,99.67,0.0,XAMBRE
